date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:33:40	42568/42568	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:33:48%20GMT	http://shop.maus.jp/robots.txt		(from )
14:33:41	42568/42568	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:33:48%20GMT	http://shop.maus.jp/	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/index.html	(from )
14:33:43	42568/42568	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:33:50%20GMT	http://shop.maus.jp/ror.xml	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/ror.html	(from http://shop.maus.jp/)
14:33:44	1116/1116	---M--	200	added ('OK')	application/javascript	etag:%2245c-532efe0b3b700%22	http://www.cospa.com/js/common.js	E:/My%20work/ShopMaus_Xcontents/www.cospa.com/js/common.js	(from http://shop.maus.jp/)
14:33:45	2485/2485	---M--	200	added ('OK')	application/javascript	etag:%229b5-480a177a16b00%22	http://maus.jp/js/lib/jquery_auto_j.js	E:/My%20work/ShopMaus_Xcontents/maus.jp/js/lib/jquery_auto_j.js	(from http://shop.maus.jp/)
14:33:45	5177/5177	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Jun%202020%2018:33:54%20GMT	http://shop.maus.jp/css/siteid/013/file/maus_base	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/css/siteid/013/file/maus_base.css	(from http://shop.maus.jp/)
14:33:45	2239/2239	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Jun%202020%2018:33:54%20GMT	http://shop.maus.jp/css/siteid/013/file/maus_index	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/css/siteid/013/file/maus_index.css	(from http://shop.maus.jp/)
14:33:46	43/43	---M--	200	added ('OK')	image/gif	etag:%222b-480a176db0dc0%22	http://maus.jp/img/toumei.gif	E:/My%20work/ShopMaus_Xcontents/maus.jp/img/toumei.gif	(from http://shop.maus.jp/)
14:33:47	46437/46437	---M--	200	added ('OK')	application/javascript	etag:%22b565-480a177a16b00%22	http://maus.jp/js/lib/jquery.js	E:/My%20work/ShopMaus_Xcontents/maus.jp/js/lib/jquery.js	(from http://shop.maus.jp/)
14:33:47	4851/4851	---M--	200	added ('OK')	image/jpeg	etag:%2212f3-480a1768ec280%22	http://maus.jp/img/headmenu_about.jpg	E:/My%20work/ShopMaus_Xcontents/maus.jp/img/headmenu_about.jpg	(from http://shop.maus.jp/)
14:33:47	16951/16951	---M--	200	added ('OK')	image/jpeg	etag:%224237-480a176bc8940%22	http://maus.jp/img/logo_shop.jpg	E:/My%20work/ShopMaus_Xcontents/maus.jp/img/logo_shop.jpg	(from http://shop.maus.jp/)
14:33:48	4458/4458	---M--	200	added ('OK')	image/jpeg	etag:%22116a-480a1768ec280%22	http://maus.jp/img/headmenu_blog.jpg	E:/My%20work/ShopMaus_Xcontents/maus.jp/img/headmenu_blog.jpg	(from http://shop.maus.jp/)
14:33:48	4891/4891	---M--	200	added ('OK')	image/jpeg	etag:%22131b-480a1769e04c0%22	http://maus.jp/img/headmenu_shop.jpg	E:/My%20work/ShopMaus_Xcontents/maus.jp/img/headmenu_shop.jpg	(from http://shop.maus.jp/)
14:33:48	16677/16677	---M--	200	added ('OK')	image/jpeg	etag:%224125-480a176db0dc0%22	http://maus.jp/img/topimg_shop.jpg	E:/My%20work/ShopMaus_Xcontents/maus.jp/img/topimg_shop.jpg	(from http://shop.maus.jp/)
14:33:48	4366/4366	---M--	200	added ('OK')	image/jpeg	etag:%22110e-480a1769e04c0%22	http://maus.jp/img/headmenu_shoplist.jpg	E:/My%20work/ShopMaus_Xcontents/maus.jp/img/headmenu_shoplist.jpg	(from http://shop.maus.jp/)
14:33:48	4402/4402	---M--	200	added ('OK')	image/jpeg	etag:%221132-480a1768ec280%22	http://maus.jp/img/headmenu_download.jpg	E:/My%20work/ShopMaus_Xcontents/maus.jp/img/headmenu_download.jpg	(from http://shop.maus.jp/)
14:33:49	4468/4468	---M--	200	added ('OK')	image/jpeg	etag:%221174-480a1768ec280%22	http://maus.jp/img/headmenu_game.jpg	E:/My%20work/ShopMaus_Xcontents/maus.jp/img/headmenu_game.jpg	(from http://shop.maus.jp/)
14:33:49	3340/3340	---M--	200	added ('OK')	image/jpeg	etag:%22d0c-480a176bc8940%22	http://maus.jp/img/menu_04_shop.jpg	E:/My%20work/ShopMaus_Xcontents/maus.jp/img/menu_04_shop.jpg	(from http://shop.maus.jp/)
14:33:49	6427/6427	---M--	200	added ('OK')	image/jpeg	etag:%22191b-480a176ad4700%22	http://maus.jp/img/home_shop.jpg	E:/My%20work/ShopMaus_Xcontents/maus.jp/img/home_shop.jpg	(from http://shop.maus.jp/)
14:33:49	433/433	---M--	200	added ('OK')	image/gif	etag:%221b1-480a1781b7d00%22	http://shop.maus.jp/pub/head_icon.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/head_icon.gif	(from http://shop.maus.jp/)
14:33:50	30805/30805	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:33:58%20GMT	http://shop.maus.jp/qa	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/qa.html	(from http://shop.maus.jp/)
14:33:50	695/695	---M--	200	added ('OK')	image/gif	etag:%222b7-480a1a890e240%22	http://shop.maus.jp/pub/btn_hajimete.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/btn_hajimete.gif	(from http://shop.maus.jp/)
14:33:50	485/485	---M--	200	added ('OK')	image/gif	etag:%221e5-480a1780c3ac0%22	http://shop.maus.jp/pub/btn_toiawase.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/btn_toiawase.gif	(from http://shop.maus.jp/)
14:33:51	28688/28688	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:33:59%20GMT	http://shop.maus.jp/magazine_index	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/magazine_index.html	(from http://shop.maus.jp/)
14:33:51	559/559	---M--	200	added ('OK')	image/gif	etag:%2222f-480a1780c3ac0%22	http://shop.maus.jp/pub/btn_mailmaga.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/btn_mailmaga.gif	(from http://shop.maus.jp/)
14:33:52	15014/15014	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:00%20GMT	http://shop.maus.jp/staticdoc/p/info_member	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/staticdoc/p/info_member.html	(from http://shop.maus.jp/)
14:33:52	1722/1722	---M--	200	added ('OK')	image/gif	etag:%226ba-536dc14725462%22	http://shop.maus.jp/pub/btn_member.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/btn_member.gif	(from http://shop.maus.jp/)
14:33:52	508/508	---M--	200	added ('OK')	image/gif	etag:%221fc-480a1780c3ac0%22	http://shop.maus.jp/pub/btn_login.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/btn_login.gif	(from http://shop.maus.jp/)
14:33:52	501/501	---M--	200	added ('OK')	image/gif	etag:%221f5-4acf1cd853e80%22	http://shop.maus.jp/pub/btn_cart.gif	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/btn_cart.gif	(from http://shop.maus.jp/)
14:33:54	60708/60708	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:01%20GMT	http://shop.maus.jp/event/id/14862	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/event/id/14862.html	(from http://shop.maus.jp/)
14:33:55	23908/23908	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:03%20GMT	http://shop.maus.jp/event/id/8584	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/event/id/8584.html	(from http://shop.maus.jp/)
14:33:55	11180/11180	---M--	200	added ('OK')	image/jpeg	etag:%222bac-567f8f3d84099%22	http://www.cospa.com/images/freespaces/1437.jpg?gp8qs..	E:/My%20work/ShopMaus_Xcontents/www.cospa.com/images/freespaces/1437aec8.jpg	(from http://shop.maus.jp/)
14:33:57	3962/3962	---M--	200	added ('OK')	image/jpeg	etag:%22f7a-53879cc057f80%22	http://www.cospa.com/images/freespaces/1004.jpg?gp8qs..	E:/My%20work/ShopMaus_Xcontents/www.cospa.com/images/freespaces/1004aec8.jpg	(from http://shop.maus.jp/)
14:33:57	42572/42572	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:04%20GMT	http://shop.maus.jp/%ef%bf%a515,000%ef%bc%8b%e7%a8%8e%e4%bb%a5%e4%b8%8a%e3%81%94%e8%b3%bc%e5%85%a5%e3%81%a7%e9%80%81%e6%96%99%e7%84%a1%e6%96%99%ef%bc%81	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/%ef%bf%a515,000%ef%bc%8b%e7%a8%8e%e4%bb%a5%e4%b8%8a%e3%81%94%e8%b3%bc%e5%85%a5%e3%81%a7%e9%80%81%e6%96%99%e7%84%a1%e6%96%99%ef%bc%81.html	(from http://shop.maus.jp/)
